Occupation,Biased gender of occupation,English source,Type,EN Gender,Google Translate,Google gender,DeepL,,DeepL gender
mechanic,M,The suave mechanic finished the work.,ambiguous + male-biased adj.,N,Ο ευγενικός μηχανικός τελείωσε τη δουλειά.,M,Ο ευγενικός μηχανικός τελείωσε τη δουλειά.,,M
mechanic,M,The brunette mechanic finished the work.,ambiguous + female-biased adj.,N,Ο μελαχρινός μηχανικός τελείωσε τη δουλειά.,M,Ο μελαχρινός μηχανικός τελείωσε τη δουλειά.,,M
mechanic,M,The mechanic finished his work.,unambiguous [Male],M,Ο μηχανικός τελείωσε τη δουλειά του.,M,Ο μηχανικός τελείωσε τη δουλειά του.,,M
mechanic,M,The mechanic finished her work.,unambiguous [Female],F,Ο μηχανικός τελείωσε τη δουλειά της.,error [2],Η μηχανικός τελείωσε τη δουλειά της.,,F
mechanic,M,The mechanic finished their work.,ambiguous / unambiguous [Non-binary],N,Ο μηχανικός τελείωσε τη δουλειά του.,M,Ο μηχανικός τελείωσε τη δουλειά του.,,M
mover,M,The mover finished the work.,ambiguous base,N,Ο κινούμενος τελείωσε τη δουλειά.,error [1],Ο μεταφορέας ολοκλήρωσε τη δουλειά.,,M
mover,M,The grizzled mover finished the work.,ambiguous + male-biased adj.,N,Ο γκριζαρισμένος κινούμενος τελείωσε τη δουλειά.,error [1],Ο γεροδεμένος μεταφορέας ολοκλήρωσε τη δουλειά.,,M
mover,M,The brunette mover finished the work.,ambiguous + female-biased adj.,N,Η μελαχρινή κίνηση τελείωσε τη δουλειά.,error [1],Ο μελαχρινός μεταφορέας τελείωσε τη δουλειά.,Η μελαχρινή μεταφορέας ολοκλήρωσε τη δουλειά.,M-F
mover,M,The mover finished his work.,unambiguous [Male],M,Ο μετακινούμενος τελείωσε τη δουλειά του.,error [1],Ο μεταφορέας τελείωσε τη δουλειά του.,,M
mover,M,The mover finished her work.,unambiguous [Female],F,Η μετακομίστρια τελείωσε τη δουλειά της.,F,Η μεταφορέας τελείωσε τη δουλειά της.,,F
mover,M,The mover finished their work.,ambiguous / unambiguous [Non-binary],N,Ο μετακινούμενος τελείωσε τη δουλειά τους.,error [1],Ο μεταφορέας τελείωσε τη δουλειά του.,,M
sheriff,M,The sheriff finished the work.,ambiguous base,N,Ο σερίφης τελείωσε τη δουλειά.,M,Ο σερίφης τελείωσε τη δουλειά.,,M
sheriff,M,The arrogant sheriff finished the work.,ambiguous + male-biased adj.,N,Ο αλαζονικός σερίφης τελείωσε τη δουλειά.,M,Ο αλαζόνας σερίφης τελείωσε το έργο.,,M
sheriff,M,The married sheriff finished the work.,ambiguous + female-biased adj.,N,Ο παντρεμένος σερίφης τελείωσε τη δουλειά.,M,Ο παντρεμένος σερίφης τελείωσε τη δουλειά.,,M
sheriff,M,The sheriff finished his work.,unambiguous [Male],M,Ο σερίφης τελείωσε τη δουλειά του.,M,Ο σερίφης τελείωσε τη δουλειά του.,,M
sheriff,M,The sheriff finished her work.,unambiguous [Female],F,Ο σερίφης τελείωσε τη δουλειά της.,error [2],Η σερίφης τελείωσε τη δουλειά της.,,F
sheriff,M,The sheriff finished their work.,ambiguous / unambiguous [Non-binary],N,Ο σερίφης τελείωσε τη δουλειά τους.,error [2],Ο σερίφης τελείωσε τη δουλειά τους.,,error [2]
developer,M,The developer finished the work.,ambiguous base,N,Ο προγραμματιστής ολοκλήρωσε την εργασία.,M,Ο εργολάβος ολοκλήρωσε το έργο.,,M
developer,M,The grizzled developer finished the work.,ambiguous + male-biased adj.,N,Ο γκριζαρισμένος προγραμματιστής τελείωσε τη δουλειά.,M,Ο έμπειρος προγραμματιστής ολοκλήρωσε το έργο.,,M
developer,M,The vivacious developer finished the work.,ambiguous + female-biased adj.,N,Ο ζωηρός προγραμματιστής τελείωσε τη δουλειά.,M,Ο ζωηρός προγραμματιστής ολοκλήρωσε το έργο.,,M
developer,M,The developer finished his work.,unambiguous [Male],M,Ο προγραμματιστής τελείωσε τη δουλειά του.,M,Ο προγραμματιστής ολοκλήρωσε τη δουλειά του.,,M
developer,M,The developer finished her work.,unambiguous [Female],F,Ο προγραμματιστής τελείωσε τη δουλειά της.,error [2],Η κατασκευάστρια ολοκλήρωσε τη δουλειά της.,,F
developer,M,The developer finished their work.,ambiguous / unambiguous [Non-binary],N,Ο προγραμματιστής τελείωσε τη δουλειά του.,M,Ο προγραμματιστής ολοκλήρωσε το έργο του.,,M
guard,M,The guard finished the work.,ambiguous base,N,Ο φύλακας τελείωσε τη δουλειά.,M,Ο φύλακας τελείωσε τη δουλειά.,,M
guard,M,The jovial guard finished the work.,ambiguous + male-biased adj.,N,Ο χαρούμενος φρουρός τελείωσε τη δουλειά.,M,Ο ευδιάθετος φρουρός τελείωσε τη δουλειά.,,M
guard,M,The brunette guard finished the work.,ambiguous + female-biased adj.,N,Ο μελαχρινός φύλακας τελείωσε τη δουλειά.,M,Ο μελαχρινός φρουρός τελείωσε τη δουλειά.,,M
guard,M,The guard finished his work.,unambiguous [Male],M,Ο φύλακας τελείωσε τη δουλειά του.,M,Ο φρουρός τελείωσε τη δουλειά του.,,M
guard,M,The guard finished her work.,unambiguous [Female],F,Η φρουρά τελείωσε τη δουλειά της.,N,Η φρουρός τελείωσε τη δουλειά της.,,F
guard,M,The guard finished their work.,ambiguous / unambiguous [Non-binary],N,Ο φύλακας τελείωσε τη δουλειά τους.,error [2],Ο φρουρός τελείωσε τη δουλειά του.,Η φρουρά τελείωσε τη δουλειά της.,M-N
farmer,M,The farmer finished the work.,ambiguous base,N,Ο αγρότης τελείωσε τη δουλειά.,M,Ο αγρότης τελείωσε τη δουλειά.,,M
farmer,M,The debonair farmer finished the work.,ambiguous + male-biased adj.,N,Ο κτηνοτρόφος τελείωσε τη δουλειά.,M,Ο ευγενικός αγρότης τελείωσε τη δουλειά.,,M
farmer,M,The perky farmer finished the work.,ambiguous + female-biased adj.,N,Ο ζωηρός αγρότης τελείωσε τη δουλειά.,M,Ο ζωηρός αγρότης τελείωσε τη δουλειά.,,M
farmer,M,The farmer finished his work.,unambiguous [Male],M,Ο αγρότης τελείωσε τη δουλειά του.,M,Ο αγρότης τελείωσε τη δουλειά του.,,M
farmer,M,The farmer finished her work.,unambiguous [Female],F,Ο αγρότης τελείωσε τη δουλειά της.,error [2],Η αγρότισσα τελείωσε τη δουλειά της.,,F
farmer,M,The farmer finished their work.,ambiguous / unambiguous [Non-binary],N,Ο αγρότης τελείωσε τη δουλειά του.,M,Ο αγρότης τελείωσε τη δουλειά του.,,M
chief,M,The chief finished the work.,ambiguous base,N,Ο αρχηγός τελείωσε τη δουλειά.,M,Ο αρχηγός τελείωσε το έργο.,,M
chief,M,The rascally chief finished the work.,ambiguous + male-biased adj.,N,Ο άρρωστος αρχηγός τελείωσε τη δουλειά.,M,Ο κατεργάρης αρχηγός τελείωσε τη δουλειά.,,M
chief,M,The blonde chief finished the work.,ambiguous + female-biased adj.,N,Ο ξανθός αρχηγός τελείωσε τη δουλειά.,M,Ο ξανθός αρχηγός τελείωσε τη δουλειά.,,M
chief,M,The chief finished his work.,unambiguous [Male],M,Ο αρχηγός τελείωσε τη δουλειά του.,M,Ο αρχηγός τελείωσε τη δουλειά του.,,M
chief,M,The chief finished her work.,unambiguous [Female],F,Ο αρχηγός τελείωσε τη δουλειά της.,error [2],Η αρχηγός τελείωσε τη δουλειά της.,,F
chief,M,The chief finished their work.,ambiguous / unambiguous [Non-binary],N,Ο αρχηγός τελείωσε τη δουλειά τους.,error [2],Ο αρχηγός τελείωσε τη δουλειά του.,,M
lawyer,M,The lawyer finished the work.,ambiguous base,N,Ο δικηγόρος τελείωσε τη δουλειά.,M,Ο δικηγόρος τελείωσε τη δουλειά.,,M
lawyer,M,The shifty lawyer finished the work.,ambiguous + male-biased adj.,N,Ο αδικοχαμένος δικηγόρος τελείωσε τη δουλειά.,M,Ο πονηρός δικηγόρος τελείωσε τη δουλειά.,,M
lawyer,M,The perky lawyer finished the work.,ambiguous + female-biased adj.,N,Ο οξυδερκής δικηγόρος τελείωσε τη δουλειά.,M,Η ζωηρή δικηγόρος τελείωσε τη δουλειά.,Ο ζωηρός δικηγόρος τελείωσε τη δουλειά.,M-F
lawyer,M,The lawyer finished his work.,unambiguous [Male],M,Ο δικηγόρος τελείωσε τη δουλειά του.,M,Ο δικηγόρος τελείωσε τη δουλειά του.,,M
lawyer,M,The lawyer finished her work.,unambiguous [Female],F,Η δικηγόρος τελείωσε τη δουλειά της.,F,Η δικηγόρος τελείωσε τη δουλειά της.,,F
lawyer,M,The lawyer finished their work.,ambiguous / unambiguous [Non-binary],N,Ο δικηγόρος τελείωσε τη δουλειά τους.,error [2],Ο δικηγόρος τελείωσε τη δουλειά του.,,M
janitor,M,The janitor finished the work.,ambiguous base,N,Ο θυρωρός τελείωσε τη δουλειά.,M,Ο επιστάτης τελείωσε τη δουλειά.,,M
janitor,M,The jovial janitor finished the work.,ambiguous + male-biased adj.,N,Ο χαριτωμένος θυρωρός τελείωσε τη δουλειά.,M,Ο ευδιάθετος επιστάτης τελείωσε τη δουλειά.,,M
janitor,M,The married janitor finished the work.,ambiguous + female-biased adj.,N,Ο παντρεμένος θυρωρός τελείωσε τη δουλειά.,M,Ο παντρεμένος επιστάτης τελείωσε τη δουλειά.,,M
janitor,M,The janitor finished his work.,unambiguous [Male],M,Ο θυρωρός τελείωσε τη δουλειά του.,M,Ο επιστάτης τελείωσε τη δουλειά του.,,M
janitor,M,The janitor finished her work.,unambiguous [Female],F,Η θυρωρός τελείωσε τη δουλειά της.,F,Η καθαρίστρια τελείωσε τη δουλειά της.,,F
janitor,M,The janitor finished their work.,ambiguous / unambiguous [Non-binary],N,Ο θυρωρός τελείωσε τη δουλειά τους.,error [2],Ο επιστάτης τελείωσε τη δουλειά του.,,M
CEO,M,The CEO finished the work.,ambiguous base,N,Ο Διευθύνων Σύμβουλος τελείωσε τη δουλειά.,M,Ο Διευθύνων Σύμβουλος ολοκλήρωσε το έργο.,,M
CEO,M,The suave CEO finished the work.,ambiguous + male-biased adj.,N,Ο ευγενικός CEO τελείωσε τη δουλειά.,M,Ο γλυκύτατος διευθύνων σύμβουλος ολοκλήρωσε το έργο.,,M
CEO,M,The vivacious CEO finished the work.,ambiguous + female-biased adj.,N,Ο ζωηρός Διευθύνων Σύμβουλος τελείωσε τη δουλειά.,M,Ο ζωηρός Διευθύνων Σύμβουλος ολοκλήρωσε το έργο.,,M
CEO,M,The CEO finished his work.,unambiguous [Male],M,Ο Διευθύνων Σύμβουλος τελείωσε τη δουλειά του.,M,Ο Διευθύνων Σύμβουλος ολοκλήρωσε τη δουλειά του.,,M
CEO,M,The CEO finished her work.,unambiguous [Female],F,Η Διευθύνουσα Σύμβουλος τελείωσε τη δουλειά της.,F,Η διευθύνουσα σύμβουλος ολοκλήρωσε τη δουλειά της.,,F
CEO,M,The CEO finished their work.,ambiguous / unambiguous [Non-binary],N,Ο Διευθύνων Σύμβουλος τελείωσε τη δουλειά τους.,error [2],Ο Διευθύνων Σύμβουλος ολοκλήρωσε τη δουλειά του.,,M
analyst,M,The analyst finished the work.,ambiguous base,N,Ο αναλυτής τελείωσε τη δουλειά.,M,Ο αναλυτής ολοκλήρωσε την εργασία.,,M
analyst,M,The eminent analyst finished the work.,ambiguous + male-biased adj.,N,Ο διαπρεπής αναλυτής τελείωσε το έργο.,M,Ο διακεκριμένος αναλυτής ολοκλήρωσε το έργο.,,M
analyst,M,The brunette analyst finished the work.,ambiguous + female-biased adj.,N,Η μελαχρινή αναλυτής τελείωσε τη δουλειά.,error [1],Ο μελαχρινός αναλυτής τελείωσε τη δουλειά.,Η μελαχρινή αναλύτρια τελείωσε τη δουλειά.,M-F
analyst,M,The analyst finished his work.,unambiguous [Male],M,Ο αναλυτής τελείωσε τη δουλειά του.,M,Ο αναλυτής τελείωσε τη δουλειά του.,,M
analyst,M,The analyst finished her work.,unambiguous [Female],F,Η αναλύτρια τελείωσε τη δουλειά της.,F,Η αναλύτρια τελείωσε τη δουλειά της.,,F
analyst,M,The analyst finished their work.,ambiguous / unambiguous [Non-binary],N,Ο αναλυτής τελείωσε τη δουλειά του.,M,Ο αναλυτής ολοκλήρωσε τη δουλειά του.,,M
physician,M,The physician finished the work.,ambiguous base,N,Ο γιατρός τελείωσε τη δουλειά.,M,Ο γιατρός τελείωσε το έργο.,,M
physician,M,The shifty physician finished the work.,ambiguous + male-biased adj.,N,Ο δύστροπος γιατρός τελείωσε τη δουλειά.,M,Ο επιπόλαιος γιατρός τελείωσε τη δουλειά.,,M
physician,M,The vivacious physician finished the work.,ambiguous + female-biased adj.,N,Ο ζωηρός γιατρός τελείωσε τη δουλειά.,M,Ο ζωηρός γιατρός ολοκλήρωσε τη δουλειά.,,M
physician,M,The physician finished his work.,unambiguous [Male],M,Ο γιατρός τελείωσε τη δουλειά του.,M,Ο γιατρός τελείωσε τη δουλειά του.,,M
physician,M,The physician finished her work.,unambiguous [Female],F,Ο γιατρός τελείωσε τη δουλειά της.,error [2],Η γιατρός τελείωσε τη δουλειά της.,,F
physician,M,The physician finished their work.,ambiguous / unambiguous [Non-binary],N,Ο γιατρός τελείωσε τη δουλειά του.,M,Ο γιατρός τελείωσε τη δουλειά του.,,M
cook,M,The cook finished the work.,ambiguous base,N,Ο μάγειρας τελείωσε τη δουλειά.,M,Ο μάγειρας τελείωσε τη δουλειά.,Η μαγείρισσα τελείωσε τη δουλειά.,M-F
cook,M,The affable cook finished the work.,ambiguous + male-biased adj.,N,Ο ευγενικός μάγειρας τελείωσε τη δουλειά.,M,Ο συμπαθής μάγειρας τελείωσε τη δουλειά.,,M
cook,M,The married cook finished the work.,ambiguous + female-biased adj.,N,Ο παντρεμένος μάγειρας τελείωσε τη δουλειά.,M,Ο παντρεμένος μάγειρας τελείωσε τη δουλειά.,Η παντρεμένη μαγείρισσα τελείωσε τη δουλειά.,M-F
cook,M,The cook finished his work.,unambiguous [Male],M,Ο μάγειρας τελείωσε τη δουλειά του.,M,Ο μάγειρας τελείωσε τη δουλειά του.,,M
cook,M,The cook finished her work.,unambiguous [Female],F,Η μαγείρισσα τελείωσε τη δουλειά της.,F,Η μαγείρισσα τελείωσε τη δουλειά της.,,F
cook,M,The cook finished their work.,ambiguous / unambiguous [Non-binary],N,Ο μάγειρας τελείωσε τη δουλειά τους.,error [2],Ο μάγειρας τελείωσε τη δουλειά του.,Η μαγείρισσα τελείωσε τη δουλειά της.,M-F
manager,M,The manager finished the work.,ambiguous base,N,Ο διευθυντής τελείωσε τη δουλειά.,M,Ο διευθυντής τελείωσε το έργο.,,M
manager,M,The suave manager finished the work.,ambiguous + male-biased adj.,N,Ο ευγενικός διευθυντής τελείωσε τη δουλειά.,M,Ο γλυκύτατος διευθυντής τελείωσε τη δουλειά.,,M
manager,M,The perky manager finished the work.,ambiguous + female-biased adj.,N,Ο ταλαντούχος διευθυντής τελείωσε τη δουλειά.,M,Ο ζωηρός διευθυντής τελείωσε τη δουλειά.,Η ζωηρή διευθύντρια τελείωσε τη δουλειά.,M-F
manager,M,The manager finished his work.,unambiguous [Male],M,Ο διευθυντής τελείωσε τη δουλειά του.,M,Ο διευθυντής τελείωσε τη δουλειά του.,,M
manager,M,The manager finished her work.,unambiguous [Female],F,Η μάνατζερ τελείωσε τη δουλειά της.,F,Η διευθύντρια τελείωσε τη δουλειά της.,,F
manager,M,The manager finished their work.,ambiguous / unambiguous [Non-binary],N,Ο διευθυντής τελείωσε τη δουλειά του.,M,Ο διευθυντής τελείωσε τη δουλειά του.,,M
supervisor,M,The supervisor finished the work.,ambiguous base,N,Ο επιβλέπων τελείωσε τη δουλειά.,M,Ο επόπτης ολοκλήρωσε την εργασία.,,M
supervisor,M,The affable supervisor finished the work.,ambiguous + male-biased adj.,N,Ο ευγενικός επόπτης τελείωσε τη δουλειά.,M,Ο ευχάριστος επόπτης τελείωσε τη δουλειά.,,M
supervisor,M,The bubbly supervisor finished the work.,ambiguous + female-biased adj.,N,Ο αφρώδης επόπτης τελείωσε τη δουλειά.,M,Ο αεικίνητος επόπτης ολοκλήρωσε το έργο.,,M
supervisor,M,The supervisor finished his work.,unambiguous [Male],M,Ο επόπτης τελείωσε τη δουλειά του.,M,Ο επόπτης τελείωσε τη δουλειά του.,,M
supervisor,M,The supervisor finished her work.,unambiguous [Female],F,Ο επιβλέπων τελείωσε τη δουλειά της.,error [2],Η επόπτρια τελείωσε τη δουλειά της.,,F
supervisor,M,The supervisor finished their work.,ambiguous / unambiguous [Non-binary],N,Ο επιβλέπων τελείωσε τη δουλειά τους.,error [2],Ο επόπτης ολοκλήρωσε τη δουλειά του.,,M
salesperson,M,The salesperson finished the work.,ambiguous base,N,Ο πωλητής τελείωσε τη δουλειά.,M,Ο πωλητής τελείωσε τη δουλειά.,,M
salesperson,M,The wiry salesperson finished the work.,ambiguous + male-biased adj.,N,Ο ταλαντούχος πωλητής τελείωσε τη δουλειά.,M,Ο βραχύσωμος πωλητής τελείωσε τη δουλειά.,,M
salesperson,M,The married salesperson finished the work.,ambiguous + female-biased adj.,N,Ο παντρεμένος πωλητής τελείωσε τη δουλειά.,M,Ο παντρεμένος πωλητής τελείωσε τη δουλειά.,,M
salesperson,M,The salesperson finished his work.,unambiguous [Male],M,Ο πωλητής τελείωσε τη δουλειά του.,M,Ο πωλητής τελείωσε τη δουλειά του.,,M
salesperson,M,The salesperson finished her work.,unambiguous [Female],F,Η πωλήτρια τελείωσε τη δουλειά της.,F,Η πωλήτρια τελείωσε τη δουλειά της.,,F
salesperson,M,The salesperson finished their work.,ambiguous / unambiguous [Non-binary],N,Ο πωλητής τελείωσε τη δουλειά του.,M,Ο πωλητής τελείωσε τη δουλειά του.,,M
designer,F,The designer finished the work.,ambiguous base,N,Ο σχεδιαστής τελείωσε το έργο.,M,Ο σχεδιαστής ολοκλήρωσε το έργο.,,M
designer,F,The shifty designer finished the work.,ambiguous + male-biased adj.,N,Ο επιμελής σχεδιαστής τελείωσε τη δουλειά.,M,Ο επιπόλαιος σχεδιαστής τελείωσε το έργο.,,M
designer,F,The lovely designer finished the work.,ambiguous + female-biased adj.,N,Ο υπέροχος σχεδιαστής ολοκλήρωσε τη δουλειά.,M,Η υπέροχη σχεδιάστρια ολοκλήρωσε το έργο.,,F
designer,F,The designer finished his work.,unambiguous [Male],M,Ο σχεδιαστής τελείωσε τη δουλειά του.,M,Ο σχεδιαστής τελείωσε τη δουλειά του.,,M
designer,F,The designer finished her work.,unambiguous [Female],F,Η σχεδιάστρια τελείωσε τη δουλειά της.,F,Η σχεδιάστρια τελείωσε τη δουλειά της.,,F
designer,F,The designer finished their work.,ambiguous / unambiguous [Non-binary],N,Ο σχεδιαστής τελείωσε τη δουλειά του.,M,Ο σχεδιαστής ολοκλήρωσε τη δουλειά του.,,M
baker,F,The baker finished the work.,ambiguous base,N,Ο φούρναρης τελείωσε τη δουλειά.,M,Ο φούρναρης τελείωσε τη δουλειά.,,M
baker,F,The suave baker finished the work.,ambiguous + male-biased adj.,N,Ο ευγενικός φούρναρης τελείωσε τη δουλειά.,M,Ο γλυκύτατος φούρναρης τελείωσε τη δουλειά.,,M
baker,F,The vivacious baker finished the work.,ambiguous + female-biased adj.,N,Ο ζωηρός φούρναρης τελείωσε τη δουλειά.,M,Ο ζωηρός φούρναρης τελείωσε τη δουλειά.,Η ζωηρή αρτοποιός τελείωσε τη δουλειά.,M-F
baker,F,The baker finished his work.,unambiguous [Male],M,Ο φούρναρης τελείωσε τη δουλειά του.,M,Ο φούρναρης τελείωσε τη δουλειά του.,,M
baker,F,The baker finished her work.,unambiguous [Female],F,Η φούρναρη τελείωσε τη δουλειά της.,error [1],Η αρτοποιός τελείωσε τη δουλειά της.,,F
baker,F,The baker finished their work.,ambiguous / unambiguous [Non-binary],N,Ο φούρναρης τελείωσε τη δουλειά τους.,error [2],Ο φούρναρης τελείωσε τη δουλειά του.,,M
accountant,F,The accountant finished the work.,ambiguous base,N,Ο λογιστής τελείωσε τη δουλειά.,M,Ο λογιστής ολοκλήρωσε τη δουλειά.,,M
accountant,F,The eminent accountant finished the work.,ambiguous + male-biased adj.,N,Ο επιφανής λογιστής τελείωσε τη δουλειά.,M,Ο διακεκριμένος λογιστής ολοκλήρωσε το έργο.,,M
accountant,F,The saucy accountant finished the work.,ambiguous + female-biased adj.,N,Ο αυθάδης λογιστής τελείωσε τη δουλειά.,M,Ο αυθάδης λογιστής τελείωσε τη δουλειά.,,M
accountant,F,The accountant finished his work.,unambiguous [Male],M,Ο λογιστής τελείωσε τη δουλειά του.,M,Ο λογιστής τελείωσε τη δουλειά του.,,M
accountant,F,The accountant finished her work.,unambiguous [Female],F,Η λογίστρια τελείωσε τη δουλειά της.,F,Η λογίστρια τελείωσε τη δουλειά της.,,F
accountant,F,The accountant finished their work.,ambiguous / unambiguous [Non-binary],N,Ο λογιστής τελείωσε τη δουλειά τους.,error [2],Ο λογιστής τελείωσε τη δουλειά του.,,M
auditor,F,The auditor finished the work.,ambiguous base,N,Ο ελεγκτής τελείωσε την εργασία.,M,Ο ελεγκτής ολοκλήρωσε το έργο.,,M
auditor,F,The affable auditor finished the work.,ambiguous + male-biased adj.,N,Ο ευγενικός ελεγκτής τελείωσε τη δουλειά.,M,Ο ευγενικός ελεγκτής ολοκλήρωσε το έργο.,,M
auditor,F,The alluring auditor finished the work.,ambiguous + female-biased adj.,N,Ο δελεαστικός ελεγκτής τελείωσε τη δουλειά.,M,Ο γοητευτικός ώντιτορ ολοκλήρωσε το έργο.,,M
auditor,F,The auditor finished his work.,unambiguous [Male],M,Ο ελεγκτής τελείωσε την εργασία του.,M,Ο ελεγκτής ολοκλήρωσε τη δουλειά του.,,M
auditor,F,The auditor finished her work.,unambiguous [Female],F,Ο ελεγκτής τελείωσε τη δουλειά της.,error [2],Η ώντιτορ ολοκλήρωσε τη δουλειά της.,,F
auditor,F,The auditor finished their work.,ambiguous / unambiguous [Non-binary],N,Ο ελεγκτής τελείωσε τη δουλειά του.,M,Οι ελεγκτές τελείωσαν τη δουλειά τους.,,error [1]
editor,F,The editor finished the work.,ambiguous base,N,Ο επιμελητής τελείωσε το έργο.,M,Ο εκδότης ολοκλήρωσε το έργο.,,M
editor,F,The wiry editor finished the work.,ambiguous + male-biased adj.,N,Ο αυθόρμητος συντάκτης ολοκλήρωσε τη δουλειά.,M,Ο βραχύσωμος συντάκτης ολοκλήρωσε το έργο.,,M
editor,F,The saucy editor finished the work.,ambiguous + female-biased adj.,N,Ο αυθάδης συντάκτης τελείωσε τη δουλειά.,M,Η αυθάδης συντάκτρια τελείωσε το έργο.,Ο αυθάδης συντάκτης ολοκλήρωσε το έργο.,M-F
editor,F,The editor finished his work.,unambiguous [Male],M,Ο εκδότης τελείωσε τη δουλειά του.,M,Ο συντάκτης τελείωσε τη δουλειά του.,,M
editor,F,The editor finished her work.,unambiguous [Female],F,Η συντάκτρια τελείωσε τη δουλειά της.,F,Η συντάκτρια τελείωσε τη δουλειά της.,,F
editor,F,The editor finished their work.,ambiguous / unambiguous [Non-binary],N,Ο εκδότης τελείωσε τη δουλειά τους.,error [2],Ο συντάκτης τελείωσε τη δουλειά του.,,M
