GendEL ID;Biased occupation;Stereotypical gender of occupation;Biased adjective;ENGLISH;Type;Gender;One correct translation;Alternative 1 [M];Alternative 2 [F];Alternative 3 [N];HT gender
27;mechanic;M;brunette;The brunette mechanic finished the work.;ambiguous + female-biased adj.;N;;Ο καστανός μηχανικός τελείωσε τη δουλειά.;Η καστανή μηχανικός τελείωσε τη δουλειά.;Το καστανό άτομο που επισκευάσει μηχανές τελείωσε τη δουλειά.;M-F-N
28;mechanic;M;;The mechanic finished his work.;unambiguous [Male];M;Ο μηχανικός τελείωσε τη δουλειά του.;;;;M
29;mechanic;M;;The mechanic finished her work.;unambiguous [Female];F;Η μηχανικός τελείωσε τη δουλειά της.;;;;F
30;mechanic;M;;The mechanic finished their work.;ambiguous / unambiguous [Non-binary];N;Το άτομο που επισκευάσει μηχανές τελείωσε τη δουλειά του.;;;;N
31;mover;M;;The mover finished the work.;ambiguous base;N;;Ο μεταφορέας τελείωσε τη δουλειά.;Η μεταφορέας τελείωσε τη δουλειά.;Το άτομο που εργάζεται στη μεταφορική τελείωσε τη δουλειά.;M-F-N
32;mover;M;grizzled;The grizzled mover finished the work.;ambiguous + male-biased adj.;N;;Ο ταλαιπωρημένος μεταφορέας τελείωσε τη δουλειά.;Η ταλαιπωρημένη μεταφορέας τελείωσε τη δουλειά.;Το ταλαιπωρημένο άτομο που εργάζεται στη μεταφορική τελείωσε τη δουλειά.;M-F-N
33;mover;M;brunette;The brunette mover finished the work.;ambiguous + female-biased adj.;N;;Ο καστανός μεταφορέας τελείωσε τη δουλειά.;Η καστανή μεταφορέας τελείωσε τη δουλειά.;Το καστανό άτομο που εργάζεται στη μεταφορική τελείωσε τη δουλειά.;M-F-N
34;mover;M;;The mover finished his work.;unambiguous [Male];M;Ο μεταφορέας τελείωσε τη δουλειά του.;;;;M
35;mover;M;;The mover finished her work.;unambiguous [Female];F;Η μεταφορέας τελείωσε τη δουλειά της.;;;;F
36;mover;M;;The mover finished their work.;ambiguous / unambiguous [Non-binary];N;Το άτομο που εργάζεται στη μεταφορική τελείωσε τη δουλειά του.;;;;N
37;sheriff;M;;The sheriff finished the work.;ambiguous base;N;;Ο σερίφης τελείωσε τη δουλειά.;Η σερίφης τελείωσε τη δουλειά.;Το άτομο που επιτηρεί την περιοχή τελείωσε τη δουλειά.;M-F-N
38;sheriff;M;arrogant;The arrogant sheriff finished the work.;ambiguous + male-biased adj.;N;;Ο αλαζονικός σερίφης τελείωσε τη δουλειά.;Η αλαζονική σερίφης τελείωσε τη δουλειά.;Το αλαζονικό που επιτηρεί την περιοχή τελείωσε τη δουλειά.;M-F-N
39;sheriff;M;married;The married sheriff finished the work.;ambiguous + female-biased adj.;N;;Ο παντρεμένος σερίφης τελείωσε τη δουλειά.;Η παντρεμένη σερίφης τελείωσε τη δουλειά.;Το παντρεμένο άτομο που επιτηρεί την περιοχή τελείωσε τη δουλειά.;M-F-N
40;sheriff;M;;The sheriff finished his work.;unambiguous [Male];M;Ο σερίφης τελείωσε τη δουλειά του.;;;;M
41;sheriff;M;;The sheriff finished her work.;unambiguous [Female];F;Η σερίφης τελείωσε τη δουλειά της.;;;;F
42;sheriff;M;;The sheriff finished their work.;ambiguous / unambiguous [Non-binary];N;Το άτομο που που επιτηρεί την περιοχή τελείωσε τη δουλειά.;;;;N
43;developer;M;;The developer finished the work.;ambiguous base;N;;Ο προγραμματιστής τελείωσε τη δουλειά.;Η προγραμματίστρια τελείωσε τη δουλειά.;Το άτομο που προγραμματίζει τελείωσε τη δουλειά.;M-F-N
44;developer;M;grizzled;The grizzled developer finished the work.;ambiguous + male-biased adj.;N;;Ο ταλαιπωρημένος προγραμματιστής τελείωσε τη δουλειά.;Η ταλαιπωρημένη προγραμματίστρια τελείωσε τη δουλειά.;Το ταλαιπωρημένο άτομο που προγραμματίζει τελείωσε τη δουλειά.;M-F-N
45;developer;M;vivacious;The vivacious developer finished the work.;ambiguous + female-biased adj.;N;;Ο ζωηρός προγραμματιστής τελείωσε τη δουλειά.;Η ζωηρή προγραμματίστρια τελείωσε τη δουλειά.;Το ζωηρό άτομο που προγραμματίζει τελείωσε τη δουλειά.;M-F-N
46;developer;M;;The developer finished his work.;unambiguous [Male];M;Ο προγραμματιστής τελείωσε τη δουλειά του.;;;;M
47;developer;M;;The developer finished her work.;unambiguous [Female];F;Η προγραμματίστρια τελείωσε τη δουλειά της.;;;;F
48;developer;M;;The developer finished their work.;ambiguous / unambiguous [Non-binary];N;Το άτομο που προγραμματίζει τελείωσε τη δουλειά του.;;;;N
49;guard;M;;The guard finished the work.;ambiguous base;N;;Ο φύλακας τελείωσε τη δουλειά.;Η φύλακας τελείωσε τη δουλειά.;Το μέλος της φρουράς τελείωσε τη δουλειά.;M-F-N
50;guard;M;jovial;The jovial guard finished the work.;ambiguous + male-biased adj.;N;;Ο πρόσχαρος φύλακας τελείωσε τη δουλειά.;Η πρόσχαρη φύλακας τελείωσε τη δουλειά.;Το πρόσχαρο μέλος της φρουράς τελείωσε τη δουλειά.;M-F-N
51;guard;M;brunette;The brunette guard finished the work.;ambiguous + female-biased adj.;N;;Ο καστανός φύλακας τελείωσε τη δουλειά.;Η καστανή φύλακας τελείωσε τη δουλειά.;Το καστανό μέλος της φρουράς τελείωσε τη δουλειά.;M-F-N
52;guard;M;;The guard finished his work.;unambiguous [Male];M;Ο φύλακας τελείωσε τη δουλειά του.;;;;M
53;guard;M;;The guard finished her work.;unambiguous [Female];F;Η φύλακας τελείωσε τη δουλειά της.;;;;F
54;guard;M;;The guard finished their work.;ambiguous / unambiguous [Non-binary];N;Το μέλος της φρουράς τελείωσε τη δουλειά του.;;;;N
55;farmer;M;;The farmer finished the work.;ambiguous base;N;;Ο αγρότης τελείωσε τη δουλειά.;Η αγρότισσα τελείωσε τη δουλειά.;Το άτομο που εργάζεται στον αγρόκτημα τελείωσε τη δουλειά.;M-F-N
56;farmer;M;debonair;The debonair farmer finished the work.;ambiguous + male-biased adj.;N;;Ο ευγενής αγρότης τελείωσε τη δουλειά.;Η ευγενής αγρότισσα τελείωσε τη δουλειά.;Το ευγενές άτομο που εργάζεται στον αγρόκτημα τελείωσε τη δουλειά.;M-F-N
57;farmer;M;perky;The perky farmer finished the work.;ambiguous + female-biased adj.;N;;Ο ευδιάθετος αγρότης τελείωσε τη δουλειά.;Η ευδιάθετη αγρότισσα τελείωσε τη δουλειά.;Το ευδιάθετο άτομο που εργάζεται στον αγρόκτημα τελείωσε τη δουλειά.;M-F-N
58;farmer;M;;The farmer finished his work.;unambiguous [Male];M;Ο αγρότης τελείωσε τη δουλειά του.;;;;M
59;farmer;M;;The farmer finished her work.;unambiguous [Female];F;Η αγρότισσα τελείωσε τη δουλειά της.;;;;F
60;farmer;M;;The farmer finished their work.;ambiguous / unambiguous [Non-binary];N;Το άτομο που εργάζεται στον αγρόκτημα τελείωσε τη δουλειά του.;;;;N
61;chief;M;;The chief finished the work.;ambiguous base;N;;Ο υπεύθυνος τελείωσε τη δουλειά.;Η υπεύθυνη τελείωσε τη δουλειά.;Το άτομο που είναι υπεύθυνο τελείωσε τη δουλειά.;M-F-N
62;chief;M;rascally;The rascally chief finished the work.;ambiguous + male-biased adj.;N;;Ο άτακτος υπεύθυνος τελείωσε τη δουλειά.;Η άτακτη υπεύθυνη τελείωσε τη δουλειά.;Το άτακτο άτομο που είναι υπεύθυνο τελείωσε τη δουλειά.;M-F-N
63;chief;M;blonde;The blonde chief finished the work.;ambiguous + female-biased adj.;N;;Ο ξανθός υπεύθυνος τελείωσε τη δουλειά.;Η ξανθιά υπεύθυνη τελείωσε τη δουλειά.;Το ξανθό άτομο που είναι υπεύθυνο τελείωσε τη δουλειά.;M-F-N
64;chief;M;;The chief finished his work.;unambiguous [Male];M;Ο υπεύθυνος τελείωσε τη δουλειά του.;;;;M
65;chief;M;;The chief finished her work.;unambiguous [Female];F;Η υπεύθυνη τελείωσε τη δουλειά της.;;;;F
66;chief;M;;The chief finished their work.;ambiguous / unambiguous [Non-binary];N;Το άτομο που είναι υπεύθυνο τελείωσε τη δουλειά του.;;;;N
67;lawyer;M;;The lawyer finished the work.;ambiguous base;N;;Ο δικηγόρος τελείωσε τη δουλειά.;Η δικηγορίνα τελείωσε τη δουλειά.;Το άτομο που ασκεί τη δικηγορία τελείωσε τη δουλειά.;M-F-N
68;lawyer;M;shifty;The shifty lawyer finished the work.;ambiguous + male-biased adj.;N;;Ο αναξιόπιστος δικηγόρος τελείωσε τη δουλειά.;Η αναξιόπιστη δικηγορίνα τελείωσε τη δουλειά.;Το αναξιόπιστο άτομο που ασκεί τη δικηγορία τελείωσε τη δουλειά.;M-F-N
69;lawyer;M;perky;The perky lawyer finished the work.;ambiguous + female-biased adj.;N;;Ο ευδιάθετος δικηγόρος τελείωσε τη δουλειά.;Η ευδιάθετη δικηγορίνα τελείωσε τη δουλειά.;Το ευδιάθετο άτομο που ασκεί τη δικηγορία τελείωσε τη δουλειά.;M-F-N
70;lawyer;M;;The lawyer finished his work.;unambiguous [Male];M;Ο δικηγόρος τελείωσε τη δουλειά του.;;;;M
71;lawyer;M;;The lawyer finished her work.;unambiguous [Female];F;Η δικηγορίνα τελείωσε τη δουλειά της.;;;;F
72;lawyer;M;;The lawyer finished their work.;ambiguous / unambiguous [Non-binary];N;Το άτομο που ασκεί τη δικηγορία τελείωσε τη δουλειά του.;;;;N
73;janitor;M;;The janitor finished the work.;ambiguous base;N;;Ο επιστάτης τελείωσε τη δουλειά.;Η επιστάτρια τελείωσε τη δουλειά.;Το άτομο που επιβλέπει τελείωσε τη δουλειά.;M-F-N
74;janitor;M;jovial;The jovial janitor finished the work.;ambiguous + male-biased adj.;N;;Ο πρόσχαρος επιστάτης τελείωσε τη δουλειά.;Η πρόσχαρη επιστάτρια τελείωσε τη δουλειά.;Το πρόσχαρες άτομο που επιβλέπει τελείωσε τη δουλειά.;M-F-N
75;janitor;M;married;The married janitor finished the work.;ambiguous + female-biased adj.;N;;Ο παντρεμένος επιστάτης τελείωσε τη δουλειά.;Η παντρεμένη επιστάτρια τελείωσε τη δουλειά.;Το παντρεμένο άτομο που επιβλέπει τελείωσε τη δουλειά.;M-F-N
76;janitor;M;;The janitor finished his work.;unambiguous [Male];M;Ο επιστάτης τελείωσε τη δουλειά του.;;;;M
77;janitor;M;;The janitor finished her work.;unambiguous [Female];F;Η επιστάτρια τελείωσε τη δουλειά της.;;;;F
78;janitor;M;;The janitor finished their work.;ambiguous / unambiguous [Non-binary];N;Το άτομο που επιβλέπει τελείωσε τη δουλειά του.;;;;N
79;CEO;M;;The CEO finished the work.;ambiguous base;N;;Ο διευθύνων σύμβουλος τελείωσε τη δουλειά.;Η διευθύνουσα σύμβουλος τελείωσε τη δουλειά.;Το διευθυντικό στέλεχος τελείωσε τη δουλειά.;M-F-N
80;CEO;M;suave;The suave CEO finished the work.;ambiguous + male-biased adj.;N;;Ο γλυκός διευθύνων σύμβουλος τελείωσε τη δουλειά.;Η γλυκιά διευθύνουσα σύμβουλος τελείωσε τη δουλειά.;Το γλυκό διευθυντικό στέλεχος τελείωσε τη δουλειά.;M-F-N
81;CEO;M;vivacious;The vivacious CEO finished the work.;ambiguous + female-biased adj.;N;;Ο ζωηρός διευθύνων σύμβουλος τελείωσε τη δουλειά.;Η ζωηρή διευθύνουσα σύμβουλος τελείωσε τη δουλειά.;Το ζωηρό διευθυντικό στέλεχος τελείωσε τη δουλειά.;M-F-N
82;CEO;M;;The CEO finished his work.;unambiguous [Male];M;Ο διευθύνων σύμβουλος τελείωσε τη δουλειά του.;;;;M
83;CEO;M;;The CEO finished her work.;unambiguous [Female];F;Ο διευθύνων σύμβουλος τελείωσε τη δουλειά της.;;;;F
84;CEO;M;;The CEO finished their work.;ambiguous / unambiguous [Non-binary];N;Το διευθυντικό στέλεχος τελείωσε τη δουλειά του.;;;;N
85;analyst;M;;The analyst finished the work.;ambiguous base;N;;Ο αναλυτής τελείωσε τη δουλειά.;Η αναλύτρια τελείωσε τη δουλειά.;Το άτομο που αναλύει τελείωσε τη δουλειά.;M-F-N
86;analyst;M;eminent;The eminent analyst finished the work.;ambiguous + male-biased adj.;N;;Ο επιφανής αναλυτής τελείωσε τη δουλειά.;Η επιφανής αναλύτρια τελείωσε τη δουλειά.;Το επιφανές άτομο που αναλύει τελείωσε τη δουλειά.;M-F-N
87;analyst;M;brunette;The brunette analyst finished the work.;ambiguous + female-biased adj.;N;;Ο καστανός αναλυτής τελείωσε τη δουλειά.;Η καστανή αναλύτρια τελείωσε τη δουλειά.;Το καστανό άτομο που αναλύει τελείωσε τη δουλειά.;M-F-N
88;analyst;M;;The analyst finished his work.;unambiguous [Male];M;Ο αναλυτής τελείωσε τη δουλειά του.;;;;M
89;analyst;M;;The analyst finished her work.;unambiguous [Female];F;Η αναλύτρια τελείωσε τη δουλειά της.;;;;F
90;analyst;M;;The analyst finished their work.;ambiguous / unambiguous [Non-binary];N;Το άτομο που αναλύει τελείωσε τη δουλειά του.;;;;N
91;physician;M;;The physician finished the work.;ambiguous base;N;;Ο γιατρός τελείωσε τη δουλειά.;Η γιατρός τελείωσε τη δουλειά.;Το μέλος του ιατρικού προσωπικού τελείωσε τη δουλειά.;M-F-N
92;physician;M;shifty;The shifty physician finished the work.;ambiguous + male-biased adj.;N;;Ο αναξιόπιστος γιατρός τελείωσε τη δουλειά.;Η αναξιόπιστη γιατρός τελείωσε τη δουλειά.;Το αναξιόπιστο μέλος του ιατρικού προσωπικού τελείωσε τη δουλειά.;M-F-N
93;physician;M;vivacious;The vivacious physician finished the work.;ambiguous + female-biased adj.;N;;Ο ζωηρός γιατρός τελείωσε τη δουλειά.;Η ζωηρή γιατρός τελείωσε τη δουλειά.;Το ζωηρό μέλος του ιατρικού προσωπικού τελείωσε τη δουλειά.;M-F-N
94;physician;M;;The physician finished his work.;unambiguous [Male];M;Ο γιατρός τελείωσε τη δουλειά του.;;;;M
95;physician;M;;The physician finished her work.;unambiguous [Female];F;Η γιατρός τελείωσε τη δουλειά της.;;;;F
96;physician;M;;The physician finished their work.;ambiguous / unambiguous [Non-binary];N;Το μέλος του ιατρικού προσωπικού τελείωσε τη δουλειά του.;;;;N
97;cook;M;;The cook finished the work.;ambiguous base;N;;Ο μάγειρας τελείωσε τη δουλειά.;Η μαγείρισσα τελείωσε τη δουλειά.;Το μέλος του μαγειρικού προσωπικού τελείωσε τη δουλειά.;M-F-N
98;cook;M;affable;The affable cook finished the work.;ambiguous + male-biased adj.;N;;Ο ευγενικός μάγειρας τελείωσε τη δουλειά.;Η ευγενική μαγείρισσα τελείωσε τη δουλειά.;Το μέλος του μαγειρικού προσωπικού τελείωσε τη δουλειά.;M-F-N
99;cook;M;married;The married cook finished the work.;ambiguous + female-biased adj.;N;;Ο παντρεμένος μάγειρας τελείωσε τη δουλειά.;Η παντρεμένη μαγείρισσα τελείωσε τη δουλειά.;Το παντρεμένο μέλος του μαγειρικού προσωπικού τελείωσε τη δουλειά.;M-F-N
100;cook;M;;The cook finished his work.;unambiguous [Male];M;Ο μάγειρας τελείωσε τη δουλειά του.;;;;M
101;cook;M;;The cook finished her work.;unambiguous [Female];F;Η μαγείρισσα τελείωσε τη δουλειά της.;;;;F
102;cook;M;;The cook finished their work.;ambiguous / unambiguous [Non-binary];N;Το μέλος του μαγειρικού προσωπικού τελείωσε τη δουλειά του.;;;;N
103;manager;M;;The manager finished the work.;ambiguous base;N;;Ο διευθυντής τελείωσε τη δουλειά.;Η διευθύντρια τελείωσε τη δουλειά.;Το άτομο που διευθύνει τελείωσε τη δουλειά.;M-F-N
104;manager;M;suave;The suave manager finished the work.;ambiguous + male-biased adj.;N;;Ο γλυκός διευθυντής τελείωσε τη δουλειά.;Η γλυκιά διευθύντρια τελείωσε τη δουλειά.;Το γλυκό άτομο που διευθύνει τελείωσε τη δουλειά.;M-F-N
105;manager;M;perky;The perky manager finished the work.;ambiguous + female-biased adj.;N;;Ο ευδιάθετος διευθυντής τελείωσε τη δουλειά.;Η ευδιάθετη διευθύντρια τελείωσε τη δουλειά.;Το ευδιάθετο άτομο που διευθύνει τελείωσε τη δουλειά.;M-F-N
106;manager;M;;The manager finished his work.;unambiguous [Male];M;Ο διευθυντής τελείωσε τη δουλειά του.;;;;M
107;manager;M;;The manager finished her work.;unambiguous [Female];F;Η διευθύντρια τελείωσε τη δουλειά της.;;;;F
108;manager;M;;The manager finished their work.;ambiguous / unambiguous [Non-binary];N;Το άτομο που διευθύνει τελείωσε τη δουλειά του.;;;;N
109;supervisor;M;;The supervisor finished the work.;ambiguous base;N;;Ο προϊστάμενος τελείωσε τη δουλειά.;Η προϊσταμένη τελείωσε τη δουλειά.;Το άτομο που επιβλέπει τελείωσε τη δουλειά.;M-F-N
110;supervisor;M;affable;The affable supervisor finished the work.;ambiguous + male-biased adj.;N;;Ο ευγενικός προϊστάμενος τελείωσε τη δουλειά.;Η ευγενική προϊσταμένη τελείωσε τη δουλειά.;Το ευγενικό άτομο που επιβλέπει τελείωσε τη δουλειά.;M-F-N
111;supervisor;M;bubbly;The bubbly supervisor finished the work.;ambiguous + female-biased adj.;N;;Ο ζωηρός προϊστάμενος τελείωσε τη δουλειά.;Η ζωηρή προϊσταμένη τελείωσε τη δουλειά.;Το ζωηρό άτομο που επιβλέπει τελείωσε τη δουλειά.;M-F-N
112;supervisor;M;;The supervisor finished his work.;unambiguous [Male];M;Ο προϊστάμενος τελείωσε τη δουλειά του.;;;;M
113;supervisor;M;;The supervisor finished her work.;unambiguous [Female];F;Η προϊσταμένη τελείωσε τη δουλειά της.;;;;F
114;supervisor;M;;The supervisor finished their work.;ambiguous / unambiguous [Non-binary];N;Το άτομο που επιβλέπει τελείωσε τη δουλειά του.;;;;N
115;salesperson;M;;The salesperson finished the work.;ambiguous base;N;;Ο πωλητής τελείωσε τη δουλειά.;Η πωλήτρια τελείωσε τη δουλειά.;Το άτομο που εργάζεται στις πωλήσεις τελείωσε τη δουλειά.;M-F-N
116;salesperson;M;wiry;The wiry salesperson finished the work.;ambiguous + male-biased adj.;N;;Ο λεπτός πωλητής τελείωσε τη δουλειά.;Η λεπτή πωλήτρια τελείωσε τη δουλειά.;Το λεπτό άτομο που εργάζεται στις πωλήσεις τελείωσε τη δουλειά.;M-F-N
117;salesperson;M;married;The married salesperson finished the work.;ambiguous + female-biased adj.;N;;Ο παντρεμένος πωλητής τελείωσε τη δουλειά.;Η παντρεμένη πωλήτρια τελείωσε τη δουλειά.;Το παντρεμένο άτομο που εργάζεται στις πωλήσεις τελείωσε τη δουλειά.;M-F-N
118;salesperson;M;;The salesperson finished his work.;unambiguous [Male];M;Ο πωλητής τελείωσε τη δουλειά του.;;;;M
119;salesperson;M;;The salesperson finished her work.;unambiguous [Female];F;Η πωλήτρια τελείωσε τη δουλειά της.;;;;F
120;salesperson;M;;The salesperson finished their work.;ambiguous / unambiguous [Non-binary];N;Το άτομο που εργάζεται στις πωλήσεις τελείωσε τη δουλειά του.;;;;N
121;designer;F;;The designer finished the work.;ambiguous base;N;;Ο σχεδιαστής τελείωσε τη δουλειά.;Η σχεδιάστρια τελείωσε τη δουλειά.;Το άτομο που σχεδιάζει τελείωσε τη δουλειά.;M-F-N
122;designer;F;shifty;The shifty designer finished the work.;ambiguous + male-biased adj.;N;;Ο αναξιόπιστος σχεδιαστής τελείωσε τη δουλειά.;Η αναξιόπιστη σχεδιάστρια τελείωσε τη δουλειά.;Το αναξιόπιστο άτομο που σχεδιάζει τελείωσε τη δουλειά.;M-F-N
123;designer;F;lovely;The lovely designer finished the work.;ambiguous + female-biased adj.;N;;Ο ευχάριστος σχεδιαστής τελείωσε τη δουλειά.;Η ευχάριστη σχεδιάστρια τελείωσε τη δουλειά.;Το ευχάριστο άτομο που σχεδιάζει τελείωσε τη δουλειά.;M-F-N
124;designer;F;;The designer finished his work.;unambiguous [Male];M;Ο σχεδιαστής τελείωσε τη δουλειά του.;;;;M
125;designer;F;;The designer finished her work.;unambiguous [Female];F;Η σχεδιάστρια τελείωσε τη δουλειά της.;;;;F
126;designer;F;;The designer finished their work.;ambiguous / unambiguous [Non-binary];N;Το άτομο που σχεδιάζει τελείωσε τη δουλειά του.;;;;N
127;baker;F;;The baker finished the work.;ambiguous base;N;;Ο φούρναρης τελείωσε τη δουλειά.;Η φουρνάρισσα τελείωσε τη δουλειά.;Το άτομο που εργάζεται στο φούρνο τελείωσε τη δουλειά.;M-F-N
128;baker;F;suave;The suave baker finished the work.;ambiguous + male-biased adj.;N;;Ο γλυκός φούρναρης τελείωσε τη δουλειά.;Η γλυκιά φουρνάρισσα τελείωσε τη δουλειά.;Το γλυκό άτομο που εργάζεται στο φούρνο τελείωσε τη δουλειά.;M-F-N
129;baker;F;vivacious;The vivacious baker finished the work.;ambiguous + female-biased adj.;N;;Ο ζωηρός φούρναρης τελείωσε τη δουλειά.;Η ζωηρή φουρνάρισσα τελείωσε τη δουλειά.;Το ζωηρό άτομο που εργάζεται στο φούρνο τελείωσε τη δουλειά.;M-F-N
130;baker;F;;The baker finished his work.;unambiguous [Male];M;Ο φούρναρης τελείωσε τη δουλειά του.;;;;M
131;baker;F;;The baker finished her work.;unambiguous [Female];F;Η φουρνάρισσα τελείωσε τη δουλειά της.;;;;F
132;baker;F;;The baker finished their work.;ambiguous / unambiguous [Non-binary];N;Το άτομο που εργάζεται στο φούρνο τελείωσε τη δουλειά του.;;;;N
133;accountant;F;;The accountant finished the work.;ambiguous base;N;;Ο λογιστής τελείωσε τη δουλειά.;Η λογίστρια τελείωσε τη δουλειά.;Το άτομο που εργάζεται στο λογιστήριο τελείωσε τη δουλειά.;M-F-N
134;accountant;F;eminent;The eminent accountant finished the work.;ambiguous + male-biased adj.;N;;Ο επιφανής λογιστής τελείωσε τη δουλειά.;Η επιφανής λογίστρια τελείωσε τη δουλειά.;Το επιφανές άτομο που εργάζεται στο λογιστήριο τελείωσε τη δουλειά.;M-F-N
